walkers, Energy
279.000000, 0.315437
279.000000, 0.315047
278.000000, 0.316454
277.000000, 0.317872
278.000000, 0.315691
279.000000, 0.313514
278.000000, 0.314924
279.000000, 0.312748
280.000000, 0.310576
281.000000, 0.308407
281.000000, 0.308017
280.000000, 0.309410
277.000000, 0.314412
277.000000, 0.314041
279.000000, 0.310074
279.000000, 0.309697
278.000000, 0.311115
278.000000, 0.310744
279.000000, 0.308577
277.000000, 0.311801
279.000000, 0.307838
278.000000, 0.309261
276.000000, 0.312504
275.000000, 0.313960
277.000000, 0.309983
273.000000, 0.316895
272.000000, 0.318385
273.000000, 0.316211
273.000000, 0.315869
272.000000, 0.317362
272.000000, 0.317024
271.000000, 0.318530
272.000000, 0.316356
273.000000, 0.314186
272.000000, 0.315683
272.000000, 0.315350
273.000000, 0.313182
273.000000, 0.312846
272.000000, 0.314346
272.000000, 0.314015
271.000000, 0.315527
271.000000, 0.315201
271.000000, 0.314877
270.000000, 0.316401
270.000000, 0.316082
270.000000, 0.315763
270.000000, 0.315446
270.000000, 0.315128
270.000000, 0.314812
271.000000, 0.312647
271.000000, 0.312328
272.000000, 0.310168
270.000000, 0.313537
269.000000, 0.315079
270.000000, 0.312915
269.000000, 0.314458
268.000000, 0.316013
267.000000, 0.317579
264.000000, 0.322930
264.000000, 0.322644
264.000000, 0.322358
266.000000, 0.318300
265.000000, 0.319891
265.000000, 0.319603
264.000000, 0.321206
262.000000, 0.324726
261.000000, 0.326363
262.000000, 0.324181
262.000000, 0.323908
261.000000, 0.325547
260.000000, 0.327198
258.000000, 0.330795
257.000000, 0.332482
256.000000, 0.334180
256.000000, 0.333933
256.000000, 0.333686
257.000000, 0.331491
257.000000, 0.331242
255.000000, 0.334899
255.000000, 0.334659
255.000000, 0.334419
251.000000, 0.342085
252.000000, 0.339873
249.000000, 0.345634
247.000000, 0.349451
248.000000, 0.347225
247.000000, 0.349035
247.000000, 0.348829
245.000000, 0.352689
246.000000, 0.350455
244.000000, 0.354336
244.000000, 0.354144
244.000000, 0.353952
243.000000, 0.355814
244.000000, 0.353573
246.000000, 0.349301
245.000000, 0.351139
245.000000, 0.350945
247.000000, 0.346686
246.000000, 0.348514
245.000000, 0.350354
246.000000, 0.348124
246.000000, 0.347928
245.000000, 0.349769
244.000000, 0.351623
244.000000, 0.351436
243.000000, 0.353302
243.000000, 0.353119
244.000000, 0.350884
244.000000, 0.350698
243.000000, 0.352566
243.000000, 0.352384
243.000000, 0.352203
243.000000, 0.352023
243.000000, 0.351842
241.000000, 0.355795
241.000000, 0.355623
240.000000, 0.357530
242.000000, 0.353213
240.000000, 0.357188
241.000000, 0.354942
242.000000, 0.352701
241.000000, 0.354597
241.000000, 0.354427
242.000000, 0.352187
243.000000, 0.349953
243.000000, 0.349776
242.000000, 0.351662
240.000000, 0.355639
241.000000, 0.353396
241.000000, 0.353228
241.000000, 0.353061
240.000000, 0.354973
242.000000, 0.350660
241.000000, 0.352561
241.000000, 0.352394
239.000000, 0.356395
240.000000, 0.354149
239.000000, 0.356075
240.000000, 0.353830
241.000000, 0.351590
242.000000, 0.349355
242.000000, 0.349187
241.000000, 0.351090
242.000000, 0.348856
242.000000, 0.348689
241.000000, 0.350593
242.000000, 0.348360
241.000000, 0.350264
240.000000, 0.352181
240.000000, 0.352023
240.000000, 0.351865
242.000000, 0.347558
244.000000, 0.343278
245.000000, 0.341062
245.000000, 0.340887
244.000000, 0.342757
243.000000, 0.344640
243.000000, 0.344474
244.000000, 0.342254
243.000000, 0.344138
243.000000, 0.343972
243.000000, 0.343806
243.000000, 0.343641
243.000000, 0.343476
243.000000, 0.343311
243.000000, 0.343146
242.000000, 0.345044
242.000000, 0.344884
243.000000, 0.342662
245.000000, 0.338400
247.000000, 0.334165
246.000000, 0.336017
245.000000, 0.337881
245.000000, 0.337711
245.000000, 0.337543
245.000000, 0.337374
245.000000, 0.337206
245.000000, 0.337038
244.000000, 0.338915
243.000000, 0.340804
240.000000, 0.346855
240.000000, 0.346705
240.000000, 0.346556
241.000000, 0.344327
237.000000, 0.352543
236.000000, 0.354518
236.000000, 0.354383
235.000000, 0.356372
235.000000, 0.356241
236.000000, 0.353987
237.000000, 0.351738
237.000000, 0.351601
237.000000, 0.351464
236.000000, 0.353441
235.000000, 0.355431
235.000000, 0.355301
235.000000, 0.355172
236.000000, 0.352920
235.000000, 0.354910
235.000000, 0.354782
235.000000, 0.354653
235.000000, 0.354525
237.000000, 0.350159
237.000000, 0.350024
236.000000, 0.352004
236.000000, 0.351873
236.000000, 0.351742
239.000000, 0.345296
238.000000, 0.347252
236.000000, 0.351335
235.000000, 0.353328
234.000000, 0.355334
234.000000, 0.355211
233.000000, 0.357230
233.000000, 0.357110
233.000000, 0.356992
232.000000, 0.359023
233.000000, 0.356758
233.000000, 0.356639
234.000000, 0.354380
234.000000, 0.354258
234.000000, 0.354137
235.000000, 0.351884
235.000000, 0.351760
233.000000, 0.355910
232.000000, 0.357943
231.000000, 0.359989
231.000000, 0.359879
229.000000, 0.364117
227.000000, 0.368400
227.000000, 0.368303
226.000000, 0.370415
226.000000, 0.370322
227.000000, 0.368022
226.000000, 0.370134
226.000000, 0.370041
226.000000, 0.369949
223.000000, 0.376539
223.000000, 0.376457
223.000000, 0.376375
223.000000, 0.376293
224.000000, 0.373975
224.000000, 0.373890
224.000000, 0.373806
225.000000, 0.371494
225.000000, 0.371406
224.000000, 0.373546
224.000000, 0.373462
227.000000, 0.366726
226.000000, 0.368840
226.000000, 0.368750
224.000000, 0.373104
224.000000, 0.373020
223.000000, 0.375174
224.000000, 0.372857
224.000000, 0.372774
225.000000, 0.370464
226.000000, 0.368161
225.000000, 0.370289
224.000000, 0.372430
224.000000, 0.372347
224.000000, 0.372265
223.000000, 0.374420
223.000000, 0.374341
223.000000, 0.374262
223.000000, 0.374184
223.000000, 0.374105
224.000000, 0.371790
223.000000, 0.373945
223.000000, 0.373867
220.000000, 0.380561
220.000000, 0.380493
221.000000, 0.378157
221.000000, 0.378086
219.000000, 0.382560
219.000000, 0.382495
219.000000, 0.382431
220.000000, 0.380088
221.000000, 0.377753
221.000000, 0.377683
220.000000, 0.379880
221.000000, 0.377545
222.000000, 0.375217
222.000000, 0.375143
225.000000, 0.368358
225.000000, 0.368276
226.000000, 0.365976
224.000000, 0.370335
225.000000, 0.368028
227.000000, 0.363521
228.000000, 0.361235
226.000000, 0.365549
226.000000, 0.365464
227.000000, 0.363172
229.000000, 0.358698
229.000000, 0.358604
229.000000, 0.358511
226.000000, 0.365011
226.000000, 0.364926
225.000000, 0.367059
225.000000, 0.366978
227.000000, 0.362473
227.000000, 0.362386
228.000000, 0.360101
225.000000, 0.366634
226.000000, 0.364337
228.000000, 0.359848
227.000000, 0.361956
227.000000, 0.361870
227.000000, 0.361784
229.000000, 0.357312
228.000000, 0.359409
229.000000, 0.357132
229.000000, 0.357041
226.000000, 0.363543
227.000000, 0.361253
227.000000, 0.361168
229.000000, 0.356696
227.000000, 0.360992
227.000000, 0.360907
228.000000, 0.358624
226.000000, 0.362942
227.000000, 0.360653
225.000000, 0.364993
225.000000, 0.364915
226.000000, 0.362619
227.000000, 0.360330
228.000000, 0.358049
229.000000, 0.355774
228.000000, 0.357872
230.000000, 0.353419
231.000000, 0.351158
231.000000, 0.351063
231.000000, 0.350968
232.000000, 0.348713
233.000000, 0.346465
232.000000, 0.348516
233.000000, 0.346268
233.000000, 0.346168
232.000000, 0.348219
231.000000, 0.350282
231.000000, 0.350189
230.000000, 0.352264
229.000000, 0.354352
230.000000, 0.352085
228.000000, 0.356362
226.000000, 0.360682
226.000000, 0.360603
227.000000, 0.358317
227.000000, 0.358235
226.000000, 0.360361
227.000000, 0.358075
225.000000, 0.362419
225.000000, 0.362343
226.000000, 0.360051
225.000000, 0.362190
224.000000, 0.364342
225.000000, 0.362042
225.000000, 0.361967
226.000000, 0.359675
226.000000, 0.359597
226.000000, 0.359520
226.000000, 0.359442
226.000000, 0.359365
226.000000, 0.359288
227.000000, 0.357003
227.000000, 0.356923
227.000000, 0.356844
227.000000, 0.356764
226.000000, 0.358892
226.000000, 0.358815
227.000000, 0.356531
227.000000, 0.356452
228.000000, 0.354175
228.000000, 0.354093
228.000000, 0.354012
228.000000, 0.353930
228.000000, 0.353848
228.000000, 0.353767
229.000000, 0.351498
230.000000, 0.349235
229.000000, 0.351327
228.000000, 0.353432
228.000000, 0.353351
228.000000, 0.353270
228.000000, 0.353189
226.000000, 0.357514
225.000000, 0.359656
226.000000, 0.357367
227.000000, 0.355084
226.000000, 0.357214
224.000000, 0.361584
224.000000, 0.361515
223.000000, 0.363683
224.000000, 0.361380
225.000000, 0.359083
227.000000, 0.354587
227.000000, 0.354510
226.000000, 0.356641
226.000000, 0.356567
227.000000, 0.354286
227.000000, 0.354209
227.000000, 0.354133
229.000000, 0.349670
230.000000, 0.347410
229.000000, 0.349505
229.000000, 0.349424
228.000000, 0.351531
229.000000, 0.349264
229.000000, 0.349183
229.000000, 0.349102
228.000000, 0.351210
228.000000, 0.351132
228.000000, 0.351054
228.000000, 0.350976
226.000000, 0.355303
226.000000, 0.355231
225.000000, 0.357376
225.000000, 0.357306
225.000000, 0.357236
226.000000, 0.354949
227.000000, 0.352670
227.000000, 0.352595
227.000000, 0.352521
226.000000, 0.354654
226.000000, 0.354582
226.000000, 0.354511
225.000000, 0.356656
225.000000, 0.356587
224.000000, 0.358746
223.000000, 0.360917
223.000000, 0.360853
224.000000, 0.358553
223.000000, 0.360724
223.000000, 0.360661
221.000000, 0.365102
221.000000, 0.365044
221.000000, 0.364987
221.000000, 0.364929
221.000000, 0.364871
221.000000, 0.364814
221.000000, 0.364756
222.000000, 0.362441
222.000000, 0.362381
221.000000, 0.364579
220.000000, 0.366789
220.000000, 0.366735
218.000000, 0.371246
218.000000, 0.371197
215.000000, 0.378076
214.000000, 0.380366
213.000000, 0.382670
213.000000, 0.382634
213.000000, 0.382598
215.000000, 0.377889
215.000000, 0.377848
213.000000, 0.382480
215.000000, 0.377772
216.000000, 0.375411
216.000000, 0.375367
215.000000, 0.377644
215.000000, 0.377603
215.000000, 0.377563
215.000000, 0.377522
216.000000, 0.375161
216.000000, 0.375118
217.000000, 0.372766
217.000000, 0.372720
217.000000, 0.372674
219.000000, 0.368042
221.000000, 0.363446
222.000000, 0.361133
222.000000, 0.361075
222.000000, 0.361017
222.000000, 0.360959
222.000000, 0.360901
222.000000, 0.360843
222.000000, 0.360785
222.000000, 0.360728
222.000000, 0.360670
223.000000, 0.358365
223.000000, 0.358305
224.000000, 0.356008
224.000000, 0.355946
224.000000, 0.355884
225.000000, 0.353595
222.000000, 0.360242
223.000000, 0.357937
223.000000, 0.357878
222.000000, 0.360066
222.000000, 0.360009
224.000000, 0.355468
224.000000, 0.355406
221.000000, 0.362086
221.000000, 0.362032
222.000000, 0.359720
222.000000, 0.359664
221.000000, 0.361865
221.000000, 0.361811
221.000000, 0.361757
221.000000, 0.361703
222.000000, 0.359392
221.000000, 0.361593
223.000000, 0.357035
221.000000, 0.361481
221.000000, 0.361427
221.000000, 0.361374
220.000000, 0.363588
220.000000, 0.363537
220.000000, 0.363486
221.000000, 0.361168
221.000000, 0.361114
221.000000, 0.361061
220.000000, 0.363276
220.000000, 0.363225
220.000000, 0.363174
220.000000, 0.363124
221.000000, 0.360806
219.000000, 0.365298
220.000000, 0.362973
219.000000, 0.365200
219.000000, 0.365152
218.000000, 0.367393
218.000000, 0.367347
218.000000, 0.367302
221.000000, 0.360423
220.000000, 0.362638
220.000000, 0.362588
218.000000, 0.367105
218.000000, 0.367060
218.000000, 0.367015
218.000000, 0.366970
217.000000, 0.369224
218.000000, 0.366882
219.000000, 0.364549
218.000000, 0.366790
218.000000, 0.366745
218.000000, 0.366701
218.000000, 0.366656
219.000000, 0.364323
220.000000, 0.361998
221.000000, 0.359681
221.000000, 0.359630
222.000000, 0.357321
222.000000, 0.357267
223.000000, 0.354967
224.000000, 0.352673
225.000000, 0.350388
225.000000, 0.350328
225.000000, 0.350267
223.000000, 0.354671
223.000000, 0.354616
223.000000, 0.354560
223.000000, 0.354505
224.000000, 0.352212
223.000000, 0.354391
222.000000, 0.356583
221.000000, 0.358788
221.000000, 0.358737
221.000000, 0.358686
222.000000, 0.356378
222.000000, 0.356326
222.000000, 0.356273
223.000000, 0.353973
223.000000, 0.353918
223.000000, 0.353863
223.000000, 0.353808
221.000000, 0.358258
220.000000, 0.360475
219.000000, 0.362706
219.000000, 0.362660
220.000000, 0.360337
221.000000, 0.358021
221.000000, 0.357971
221.000000, 0.357922
221.000000, 0.357872
222.000000, 0.355565
221.000000, 0.357770
223.000000, 0.353216
224.000000, 0.350925
223.000000, 0.353105
222.000000, 0.355299
221.000000, 0.357504
221.000000, 0.357455
221.000000, 0.357405
221.000000, 0.357356
221.000000, 0.357307
222.000000, 0.355000
222.000000, 0.354949
222.000000, 0.354897
222.000000, 0.354846
222.000000, 0.354795
221.000000, 0.357001
221.000000, 0.356952
220.000000, 0.359171
219.000000, 0.361402
218.000000, 0.363646
217.000000, 0.365903
216.000000, 0.368172
215.000000, 0.370455
215.000000, 0.370420
215.000000, 0.370385
216.000000, 0.368029
215.000000, 0.370312
216.000000, 0.367957
216.000000, 0.367920
216.000000, 0.367882
217.000000, 0.365536
217.000000, 0.365496
216.000000, 0.367766
216.000000, 0.367729
217.000000, 0.365383
216.000000, 0.367653
218.000000, 0.363008
218.000000, 0.362966
218.000000, 0.362925
219.000000, 0.360595
219.000000, 0.360552
219.000000, 0.360508
218.000000, 0.362753
219.000000, 0.360424
218.000000, 0.362669
217.000000, 0.364927
217.000000, 0.364888
218.000000, 0.362550
217.000000, 0.364808
216.000000, 0.367079
217.000000, 0.364733
216.000000, 0.367004
215.000000, 0.369287
215.000000, 0.369253
215.000000, 0.369219
214.000000, 0.371516
