# dt = 0.00020 ps ; n_timesteps = 10000
# masses = [1.66e-03, 1.24e-03, 1.66e-03] m_asu ; kappa = 9.9825e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-2.43776e+03, 6.44649e-11, 4.88835e-09, 1.97659e-09 
-2.43726e+03, 6.44666e-11, 4.88848e-09, 1.97664e-09 
-2.43676e+03, 6.44683e-11, 4.88860e-09, 1.97669e-09 
-2.43626e+03, 6.44700e-11, 4.88872e-09, 1.97674e-09 
-2.43576e+03, 6.44717e-11, 4.88885e-09, 1.97679e-09 
-2.43526e+03, 6.44734e-11, 4.88897e-09, 1.97684e-09 
-2.43476e+03, 6.44751e-11, 4.88910e-09, 1.97689e-09 
-2.43426e+03, 6.44769e-11, 4.88922e-09, 1.97694e-09 
-2.43376e+03, 6.44786e-11, 4.88935e-09, 1.97699e-09 
-2.43326e+03, 6.44804e-11, 4.88948e-09, 1.97704e-09 
-2.43276e+03, 6.44822e-11, 4.88961e-09, 1.97709e-09 
-2.43226e+03, 6.44840e-11, 4.88974e-09, 1.97715e-09 
-2.43176e+03, 6.44858e-11, 4.88987e-09, 1.97720e-09 
-2.43126e+03, 6.44876e-11, 4.89001e-09, 1.97725e-09 
-2.43076e+03, 6.44894e-11, 4.89014e-09, 1.97731e-09 
-2.43026e+03, 6.44913e-11, 4.89028e-09, 1.97736e-09 
-2.42976e+03, 6.44931e-11, 4.89041e-09, 1.97742e-09 
-2.42926e+03, 6.44950e-11, 4.89055e-09, 1.97747e-09 
-2.42876e+03, 6.44969e-11, 4.89069e-09, 1.97753e-09 
-2.42826e+03, 6.44988e-11, 4.89082e-09, 1.97759e-09 
-2.42776e+03, 6.45007e-11, 4.89096e-09, 1.97764e-09 
-2.42726e+03, 6.45027e-11, 4.89110e-09, 1.97770e-09 
-2.42676e+03, 6.45046e-11, 4.89125e-09, 1.97776e-09 
-2.42626e+03, 6.45066e-11, 4.89139e-09, 1.97781e-09 
-2.42576e+03, 6.45085e-11, 4.89153e-09, 1.97787e-09 
-2.42526e+03, 6.45105e-11, 4.89168e-09, 1.97793e-09 
-2.42476e+03, 6.45125e-11, 4.89182e-09, 1.97799e-09 
-2.42426e+03, 6.45145e-11, 4.89197e-09, 1.97805e-09 
-2.42376e+03, 6.45166e-11, 4.89212e-09, 1.97811e-09 
-2.42326e+03, 6.45186e-11, 4.89227e-09, 1.97817e-09 
-2.42276e+03, 6.45206e-11, 4.89241e-09, 1.97823e-09 
-2.42226e+03, 6.45227e-11, 4.89257e-09, 1.97829e-09 
-2.42176e+03, 6.45248e-11, 4.89272e-09, 1.97835e-09 
-2.42126e+03, 6.45269e-11, 4.89287e-09, 1.97841e-09 
-2.42076e+03, 6.45290e-11, 4.89302e-09, 1.97847e-09 
-2.42026e+03, 6.45311e-11, 4.89318e-09, 1.97854e-09 
-2.41976e+03, 6.45332e-11, 4.89333e-09, 1.97860e-09 
-2.41926e+03, 6.45354e-11, 4.89349e-09, 1.97866e-09 
-2.41876e+03, 6.45375e-11, 4.89365e-09, 1.97873e-09 
-2.41826e+03, 6.45397e-11, 4.89380e-09, 1.97879e-09 
-2.41776e+03, 6.45419e-11, 4.89396e-09, 1.97885e-09 
-2.41726e+03, 6.45441e-11, 4.89412e-09, 1.97892e-09 
-2.41676e+03, 6.45463e-11, 4.89428e-09, 1.97898e-09 
-2.41626e+03, 6.45485e-11, 4.89445e-09, 1.97905e-09 
-2.41576e+03, 6.45508e-11, 4.89461e-09, 1.97911e-09 
-2.41526e+03, 6.45530e-11, 4.89477e-09, 1.97918e-09 
-2.41476e+03, 6.45553e-11, 4.89494e-09, 1.97925e-09 
-2.41426e+03, 6.45576e-11, 4.89511e-09, 1.97931e-09 
-2.41376e+03, 6.45599e-11, 4.89527e-09, 1.97938e-09 
-2.41326e+03, 6.45622e-11, 4.89544e-09, 1.97945e-09 
-2.41276e+03, 6.45645e-11, 4.89561e-09, 1.97952e-09 
